tile_num,GeoTIFF,geometry,S2 Tile Name
4053,boreal_agb_202302061675669645_4053.tif,"POLYGON ((133.07064377200004 53.14844959700008, 133.92827318000002 52.529605728000035, 132.90923021000003 52.01516566300006, 132.04708115300002 52.62681110600005, 133.07064377200004 53.14844959700008))",52UFD
4052,boreal_agb_202302061675673011_4052.tif,"POLYGON ((132.04708115300002 52.62681110600005, 132.90923021000003 52.01516566300006, 131.9156287290001 51.49090833900004, 131.0498415950001 52.09544201700004, 132.04708115300002 52.62681110600005))",52UFD
3971,boreal_agb_202302061675671598_3971.tif,"POLYGON ((131.1586060610001 53.23081257300004, 132.04708115300002 52.62681110600005, 131.0498415950001 52.09544201700004, 130.15830878100007 52.69216745600005, 131.1586060610001 53.23081257300004))",52UFD
3970,boreal_agb_202302061675671505_3970.tif,"POLYGON ((130.15830878100007 52.69216745600005, 131.0498415950001 52.09544201700004, 130.07834547000004 51.55463698900007, 129.184592618 52.14419077700006, 130.15830878100007 52.69216745600005))",52UFD
3883,boreal_agb_202302061675668213_3883.tif,"POLYGON ((130.24290591200008 53.82691792500003, 131.1586060610001 53.23081257300004, 130.15830878100007 52.69216745600005, 129.240193018 53.28083344300006, 130.24290591200008 53.82691792500003))",52UFD
3884,boreal_agb_202302061675672943_3884.tif,"POLYGON ((131.27375620300006 54.363479151000035, 132.1861258140001 53.75982483300004, 131.1586060610001 53.23081257300004, 130.24290591200008 53.82691792500003, 131.27375620300006 54.363479151000035))",52UFE
3972,boreal_agb_202302061675671579_3972.tif,"POLYGON ((132.1861258140001 53.75982483300004, 133.07064377200004 53.14844959700008, 132.04708115300002 52.62681110600005, 131.1586060610001 53.23081257300004, 132.1861258140001 53.75982483300004))",52UFE
3885,boreal_agb_202302061675668042_3885.tif,"POLYGON ((132.3334387210001 54.89019396400005, 133.241493794 54.27888837000006, 132.1861258140001 53.75982483300004, 131.27375620300006 54.363479151000035, 132.3334387210001 54.89019396400005))",52UFE
3971,boreal_agb_202302061675671598_3971.tif,"POLYGON ((131.1586060610001 53.23081257300004, 132.04708115300002 52.62681110600005, 131.0498415950001 52.09544201700004, 130.15830878100007 52.69216745600005, 131.1586060610001 53.23081257300004))",52UFE
3883,boreal_agb_202302061675668213_3883.tif,"POLYGON ((130.24290591200008 53.82691792500003, 131.1586060610001 53.23081257300004, 130.15830878100007 52.69216745600005, 129.240193018 53.28083344300006, 130.24290591200008 53.82691792500003))",52UFE
